"date","music","popul","chord","key","artist"
"1",NA," paulinho da viola 14 anos ",NA,"G","C","paulinho da viola"
"2",NA," paulinho da viola 14 anos ",NA,"G","C","paulinho da viola"
"3",NA," paulinho da viola 14 anos ",NA,"E","C","paulinho da viola"
"4",NA," paulinho da viola 14 anos ",NA,"A7","C","paulinho da viola"
"5",NA," paulinho da viola 14 anos ",NA,"D7","C","paulinho da viola"
"6",NA," paulinho da viola 14 anos ",NA,"G7+","C","paulinho da viola"
"7",NA," paulinho da viola 14 anos ",NA,"D7","C","paulinho da viola"
"8",NA," paulinho da viola 14 anos ",NA,"G7+","C","paulinho da viola"
"9",NA," paulinho da viola 14 anos ",NA,"Dm7","C","paulinho da viola"
"10",NA," paulinho da viola 14 anos ",NA,"G7","C","paulinho da viola"
"11",NA," paulinho da viola 14 anos ",NA,"C","C","paulinho da viola"
"12",NA," paulinho da viola 14 anos ",NA,"D7","C","paulinho da viola"
"13",NA," paulinho da viola 14 anos ",NA,"G","C","paulinho da viola"
"14",NA," paulinho da viola 14 anos ",NA,"B7","C","paulinho da viola"
"15",NA," paulinho da viola 14 anos ",NA,"Em","C","paulinho da viola"
"16",NA," paulinho da viola 14 anos ",NA,"B7","C","paulinho da viola"
"17",NA," paulinho da viola 14 anos ",NA,"Em","C","paulinho da viola"
"18",NA," paulinho da viola 14 anos ",NA,"D7","C","paulinho da viola"
"19",NA," paulinho da viola 14 anos ",NA,"G","C","paulinho da viola"
"20",NA," paulinho da viola 14 anos ",NA,"Gº","C","paulinho da viola"
"21",NA," paulinho da viola 14 anos ",NA,"Am7","C","paulinho da viola"
"22",NA," paulinho da viola 14 anos ",NA,"D7","C","paulinho da viola"
"23",NA," paulinho da viola 14 anos ",NA,"G7+","C","paulinho da viola"
"24",NA," paulinho da viola 14 anos ",NA,"B7","C","paulinho da viola"
"25",NA," paulinho da viola 14 anos ",NA,"Em","C","paulinho da viola"
"26",NA," paulinho da viola 14 anos ",NA,"A7","C","paulinho da viola"
"27",NA," paulinho da viola 14 anos ",NA,"Am7","C","paulinho da viola"
"28",NA," paulinho da viola 14 anos ",NA,"D7","C","paulinho da viola"
"29",NA," paulinho da viola 14 anos ",NA,"G","C","paulinho da viola"
"30",NA," paulinho da viola 14 anos ",NA,"B7","C","paulinho da viola"
"31",NA," paulinho da viola 14 anos ",NA,"Em","C","paulinho da viola"
"32",NA," paulinho da viola 14 anos ",NA,"F#7","C","paulinho da viola"
"33",NA," paulinho da viola 14 anos ",NA,"B7","C","paulinho da viola"
"34",NA," paulinho da viola 14 anos ",NA,"Em","C","paulinho da viola"
"35",NA," paulinho da viola 14 anos ",NA,"C","C","paulinho da viola"
"36",NA," paulinho da viola 14 anos ",NA,"B7","C","paulinho da viola"
"37",NA," paulinho da viola 14 anos ",NA,"D7","C","paulinho da viola"
"38",NA," paulinho da viola 14 anos ",NA,"G","C","paulinho da viola"
"39",NA," paulinho da viola 14 anos ",NA,"F#7","C","paulinho da viola"
"40",NA," paulinho da viola 14 anos ",NA,"Bm","C","paulinho da viola"
"41",NA," paulinho da viola 14 anos ",NA,"D7","C","paulinho da viola"
"42",5," paulinho da viola abre os teus olhos ",9,"A","A","paulinho da viola"
"43",5," paulinho da viola abre os teus olhos ",9,"F#7","A","paulinho da viola"
"44",5," paulinho da viola abre os teus olhos ",9,"Bm","A","paulinho da viola"
"45",5," paulinho da viola abre os teus olhos ",9,"E7","A","paulinho da viola"
"46",5," paulinho da viola abre os teus olhos ",9,"A","A","paulinho da viola"
"47",5," paulinho da viola abre os teus olhos ",9,"E7","A","paulinho da viola"
"48",5," paulinho da viola abre os teus olhos ",9,"A","A","paulinho da viola"
"49",5," paulinho da viola abre os teus olhos ",9,"F#7","A","paulinho da viola"
"50",5," paulinho da viola abre os teus olhos ",9,"Bm","A","paulinho da viola"
"51",5," paulinho da viola abre os teus olhos ",9,"E7","A","paulinho da viola"
"52",5," paulinho da viola abre os teus olhos ",9,"A","A","paulinho da viola"
"53",5," paulinho da viola abre os teus olhos ",9,"E7","A","paulinho da viola"
"54",5," paulinho da viola abre os teus olhos ",9,"A","A","paulinho da viola"
"55",5," paulinho da viola abre os teus olhos ",9,"F#7","A","paulinho da viola"
"56",5," paulinho da viola abre os teus olhos ",9,"Bm","A","paulinho da viola"
"57",5," paulinho da viola abre os teus olhos ",9,"E7","A","paulinho da viola"
"58",5," paulinho da viola abre os teus olhos ",9,"A7","A","paulinho da viola"
"59",5," paulinho da viola abre os teus olhos ",9,"D","A","paulinho da viola"
"60",5," paulinho da viola abre os teus olhos ",9,"Dm","A","paulinho da viola"
"61",5," paulinho da viola abre os teus olhos ",9,"C#m","A","paulinho da viola"
"62",5," paulinho da viola abre os teus olhos ",9,"F#7","A","paulinho da viola"
"63",5," paulinho da viola abre os teus olhos ",9,"Bm","A","paulinho da viola"
"64",5," paulinho da viola abre os teus olhos ",9,"E7","A","paulinho da viola"
"65",5," paulinho da viola abre os teus olhos ",9,"A","A","paulinho da viola"
"66",5," paulinho da viola abre os teus olhos ",9,"E7","A","paulinho da viola"
